region,valor_original,n_iniciativas,categoria,comunas_matcheadas(cut),nota
X,Chonchi,1,match_directo,Chonchi:10203,
X,Ancud;Los Muermos,1,multi_completo,Ancud:10202; Los Muermos:10106,
X,Chiloé;Palena;Osorno,1,multi_completo,Palena:10404; Osorno:10301,"""Chiloé"" es provincia/agrupación"
X,Curaco De Velez,1,match_directo,Curaco de Vélez:10204,
X,Los Muermos,1,match_directo,Los Muermos:10106,
XI,Coyhaique,49,match_directo,Coyhaique:11101,
XI,Regional,29,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XI,Aysen,25,match_directo,Aysén:11201,
XI,Cisnes,19,match_directo,Cisnes:11202,
XI,Cochrane,11,match_directo,Cochrane:11301,
XI,Chile Chico,11,match_directo,Chile Chico:11401,
XI,Rio Ibañez,8,match_directo,Río Ibáñez:11402,
XI,Lago Verde,7,match_directo,Lago Verde:11102,
XI,Aysén,5,match_directo,Aysén:11201,
XI,Río Ibáñez,4,match_directo,Río Ibáñez:11402,
XI,O'Higgins,3,match_directo,O'Higgins:11302,
XI,Tortel / Guaitecas,3,multi_completo,Tortel:11303; Guaitecas:11203,
XI,Ohiggins,2,match_fuzzy_alias,O'Higgins:11302,
XI,Tortel,2,match_directo,Tortel:11303,
XI,Guaitecas,2,match_directo,Guaitecas:11203,
XI,Guaitecas / Cisnes,1,multi_completo,Guaitecas:11203; Cisnes:11202,
XI,Cisnes / Cochrane,1,multi_completo,Cisnes:11202; Cochrane:11301,
XI,Coyhaique / Chile Chico,1,multi_completo,Coyhaique:11101; Chile Chico:11401,
XI,Tortel / O'Higgins / Guaitecas,1,multi_completo,Tortel:11303; O'Higgins:11302; Guaitecas:11203,
XI,Cisnes / Cochrane / O'Higgins,1,multi_completo,Cisnes:11202; Cochrane:11301; O'Higgins:11302,
XI,Lago Verde / Coyhaique / Chile Chico,1,multi_completo,Lago Verde:11102; Coyhaique:11101; Chile Chico:11401,
XII,Punta Arenas,110,match_directo,Punta Arenas:12101,
XII,Regional,46,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XII,Natales,33,match_directo,Natales:12401,
XII,Porvenir,15,match_directo,Porvenir:12301,
XII,Cabo De Hornos,11,match_directo,Cabo de Hornos:12201,
XII,Cabo de Hornos,7,match_directo,Cabo de Hornos:12201,
XII,Rio Verde,5,match_directo,Río Verde:12103,
XII,Timaukel,5,match_directo,Timaukel:12303,
XII,Primavera,5,match_directo,Primavera:12302,
XII,Laguna Blanca,3,match_directo,Laguna Blanca:12102,
XII,Torres Del Paine,3,match_directo,Torres del Paine:12402,
XII,Antártica,2,match_fuzzy_alias,Cabo de Hornos:12201,
XII,Antartica,2,match_fuzzy_alias,Cabo de Hornos:12201,
XII,Regional;Antártica,2,multi_completo,Cabo de Hornos:12201,"incluye ""regional"""
XII,San Gregorio,2,match_directo,San Gregorio:12104,
XII,Timaukel;Laguna Blanca;San Gregorio,1,multi_completo,Timaukel:12303; Laguna Blanca:12102; San Gregorio:12104,
XII,Distintas zonas extremas,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XII,Primavera;Río Verde;Regional,1,multi_completo,Primavera:12302; Río Verde:12103,"incluye ""regional"""
XII,Timaukel;Primavera;San Gregorio;Río Verde,1,multi_completo,Timaukel:12303; Primavera:12302; San Gregorio:12104; Río Verde:12103,
XII,Punta Arenas;Natales,1,multi_completo,Punta Arenas:12101; Natales:12401,
XII,Última Esperanza,1,bucket_regional,,provincia/agrupación → bucket
XII,Punta Arenas;Porvenir,1,multi_completo,Punta Arenas:12101; Porvenir:12301,
XII,Tierra del Fuego,1,bucket_regional,,provincia/agrupación → bucket
XII,Natales-Laguna Blanca,1,multi_completo,Natales:12401; Laguna Blanca:12102,
XII,Natales;Cabo de Hornos;Porvenir;Punta Arenas,1,multi_completo,Natales:12401; Cabo de Hornos:12201; Porvenir:12301; Punta Arenas:12101,
XIV,Regional,41,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XIV,Valdivia,33,match_directo,Valdivia:14101,
XIV,Río Bueno,23,match_directo,Río Bueno:14204,
XIV,La Unión,17,match_directo,La Unión:14201,
XIV,Mariquina,16,match_directo,Mariquina:14106,
XIV,Paillaco,11,match_directo,Paillaco:14107,
XIV,Lanco,10,match_directo,Lanco:14103,
XIV,Panguipulli,8,match_directo,Panguipulli:14108,
XIV,Lago Ranco,7,match_directo,Lago Ranco:14203,
XIV,Los Lagos,6,match_directo,Los Lagos:14104,
XIV,Corral,4,match_directo,Corral:14102,
XIV,Máfil,4,match_directo,Máfil:14105,
XIV,Toda la Región,3,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XIV,Paillaco;La Unión,2,multi_completo,Paillaco:14107; La Unión:14201,
XIV,Futrono,2,match_directo,Futrono:14202,
XIV,Valdivia;Panguipulli;La Unión;Río Bueno;Paillaco;Los Lagos;San José de la Mariquina,1,multi_completo,Valdivia:14101; Panguipulli:14108; La Unión:14201; Río Bueno:14204; Paillaco:14107; Los Lagos:14104; Mariquina:14106,
XIV,Panguipulli -los Lagos,1,multi_completo,Panguipulli:14108; Los Lagos:14104,
XIV,Liquiñe,1,match_fuzzy_alias,Panguipulli:14108,
XIV,Panguipulli;Corral,1,multi_completo,Panguipulli:14108; Corral:14102,
XIV,Prov del Ranco,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XIV,Provincial,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XIV,Prov. del Ranco,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XIV,San Jose de la Mariquina,1,match_fuzzy_alias,Mariquina:14106,
XIV,Prov. Valdivia,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XIV,Palo Muerto – los Liles;Corral,1,multi_completo,Corral:14102; Corral:14102,
XIV,Paillaco-mariquina,1,multi_completo,Paillaco:14107; Mariquina:14106,
XIV,Todas las Comunas de la Región de los Ríos,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XIV,Los Lagos Río Bueno la Unión,1,multi_completo,Los Lagos:14104; Río Bueno:14204; La Unión:14201,
XIV,Los Lagos- Futrono,1,multi_completo,Los Lagos:14104; Futrono:14202,
XIV,Máfil -los Lagos,1,multi_completo,Máfil:14105; Los Lagos:14104,
XV,Arica,49,match_directo,Arica:15101,
XV,Putre,1,match_directo,Putre:15201,
XV,General Lagos,1,match_directo,General Lagos:15202,
XV,Camarones,1,match_directo,Camarones:15102,
XVI,Chillan - Region Del Ñuble,31,match_fuzzy_alias,Chillán:16101,
XVI,Chillán,22,match_directo,Chillán:16101,
XVI,San Carlos,15,match_directo,San Carlos:16301,
XVI,San Ignacio - Region Del Ñuble,11,match_fuzzy_alias,San Ignacio:16108,
XVI,Chillán Viejo,10,match_directo,Chillán Viejo:16103,
XVI,Ninhue - Region Del Ñuble,9,match_fuzzy_alias,Ninhue:16204,
XVI,Trehuaco,8,match_fuzzy_alias,Treguaco:16207,fuzzy
XVI,Pinto,7,match_directo,Pinto:16106,
XVI,San Ignacio,7,match_directo,San Ignacio:16108,
XVI,Bulnes,6,match_directo,Bulnes:16102,
XVI,Coihueco,6,match_directo,Coihueco:16302,
XVI,Yungay,6,match_directo,Yungay:16109,
XVI,Chillan Viejo - Region Del Ñuble,6,match_fuzzy_alias,Chillán Viejo:16103,
XVI,Regional,6,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Quirihue,6,match_directo,Quirihue:16201,
XVI,Pinto - Region Del Ñuble,5,match_fuzzy_alias,Pinto:16106,
XVI,Cobquecura,5,match_directo,Cobquecura:16202,
XVI,San Nicolás,5,match_directo,San Nicolás:16305,
XVI,Ranquil - Region Del Ñuble,5,match_fuzzy_alias,Ranquil:16206,
XVI,Coihueco - Region Del Ñuble,5,match_fuzzy_alias,Coihueco:16302,
XVI,Comuna de Chillán,5,match_fuzzy_alias,Chillán:16101,
XVI,Ñiquén,5,match_directo,Ñiquén:16303,
XVI,Ninhue,4,match_directo,Ninhue:16204,
XVI,San Nicolas - Region Del Ñuble,4,match_fuzzy_alias,San Nicolás:16305,
XVI,Quillón,4,match_directo,Quillón:16107,
XVI,San Carlos - Region Del Ñuble,4,match_fuzzy_alias,San Carlos:16301,
XVI,San Fabian - Region Del Ñuble,4,match_fuzzy_alias,San Fabián:16304,
XVI,Portezuelo - Region Del Ñuble,4,match_fuzzy_alias,Portezuelo:16205,
XVI,Yungay - Region Del Ñuble,4,match_fuzzy_alias,Yungay:16109,
XVI,Bulnes - Region Del Ñuble,3,match_fuzzy_alias,Bulnes:16102,
XVI,21 Comunas de Ñuble,3,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,El Carmen,3,match_directo,El Carmen:16104,
XVI,Regional (21 comunas de Ñuble),3,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Coelemu - Region Del Ñuble,3,match_fuzzy_alias,Coelemu:16203,
XVI,El Carmen - Region Del Ñuble,3,match_fuzzy_alias,El Carmen:16104,
XVI,Cobquecura - Region Del Ñuble,3,match_fuzzy_alias,Cobquecura:16202,
XVI,Niquen - Region Del Ñuble,2,match_fuzzy_alias,Ñiquén:16303,
XVI,Comuna de San Carlos,2,match_fuzzy_alias,San Carlos:16301,
XVI,Comuna de Chillán y Región,2,match_fuzzy_alias,Chillán:16101,
XVI,Comuna de Chillán y Chillán Viejo,2,multi_completo,Chillán:16101; Chillán Viejo:16103,
XVI,Coelemu,2,match_directo,Coelemu:16203,
XVI,San Fabián,2,match_directo,San Fabián:16304,
XVI,Quirihue - Region Del Ñuble,2,match_fuzzy_alias,Quirihue:16201,
XVI,Pemuco,2,match_directo,Pemuco:16105,
XVI,Zona de Rezago Cordillerana,2,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Quillon - Region Del Ñuble,2,match_fuzzy_alias,Quillón:16107,
XVI,"Regional, 21 Comunas",2,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Chillan,1,match_directo,Chillán:16101,
XVI,Penco,1,match_directo,Penco:8107,OTRA REGIÓN (codregion 8)
XVI,"Comuna de Bulnes, Chillán y San Carlos",1,multi_completo,Bulnes:16102; Chillán:16101; San Carlos:16301,
XVI,Pemuco - Region Del Ñuble,1,match_fuzzy_alias,Pemuco:16105,
XVI,Portezuelo,1,match_directo,Portezuelo:16205,
